Index,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
56,Unapologetic (Deluxe),8,0aUWfpD3PlSv3FTTKcT2rN,What Now,spotify:track:0aUWfpD3PlSv3FTTKcT2rN,0.0476,0.402,0.696,0.0,0.628,-4.799,0.0448,180.158,0.227,52
57,Unapologetic (Deluxe),9,1dEy9Pl81QopSxNsPxXQxv,Stay,spotify:track:1dEy9Pl81QopSxNsPxXQxv,0.945,0.621,0.31,6.12e-05,0.117,-10.164,0.0283,111.893,0.125,69
58,Unapologetic (Deluxe),10,0qJWmTaT1qvCq0brgx8k2P,Nobody's Business,spotify:track:0qJWmTaT1qvCq0brgx8k2P,0.0362,0.741,0.6,0.0,0.0562,-5.792,0.0412,109.233,0.515,68
59,Unapologetic (Deluxe),11,7I5iWxgkVGe4M9msr9BMp9,Love Without Tragedy / Mother Mary,spotify:track:7I5iWxgkVGe4M9msr9BMp9,0.0747,0.542,0.66,0.0,0.184,-6.467,0.0357,127.891,0.154,41
60,Unapologetic (Deluxe),12,3NsVe4VhqzB2M0R282HJJB,Get It Over With,spotify:track:3NsVe4VhqzB2M0R282HJJB,0.744,0.419,0.465,0.0,0.102,-6.756,0.0312,79.75,0.251,39
61,Unapologetic (Deluxe),13,4hXLxBb41Xs1KzCD0gfsC8,No Love Allowed,spotify:track:4hXLxBb41Xs1KzCD0gfsC8,0.362,0.583,0.482,4.14e-05,0.0938,-9.164,0.0987,90.483,0.645,42
62,Unapologetic (Deluxe),14,6jLGCgYpIqGJ1WI4x4hBXY,Lost In Paradise,spotify:track:6jLGCgYpIqGJ1WI4x4hBXY,0.0639,0.479,0.779,0.0,0.204,-3.698,0.0449,75.961,0.307,37
63,Unapologetic (Deluxe),15,4bXImuY3OhNXhbQbVLFHKp,Half Of Me,spotify:track:4bXImuY3OhNXhbQbVLFHKp,0.214,0.391,0.574,0.0,0.36,-5.912,0.0397,147.435,0.308,39
64,Unapologetic (Deluxe),16,0brevRGa7ZTMpKp7tqWqLR,Diamonds - Dave Aude 100 Extended,spotify:track:0brevRGa7ZTMpKp7tqWqLR,0.000283,0.722,0.629,0.0735,0.0468,-6.261,0.0393,99.996,0.372,29
65,Unapologetic (Deluxe),17,1JwPEU7fF9qedJwr6fUCh6,Diamonds - Gregor Salto Downtempo Remix,spotify:track:1JwPEU7fF9qedJwr6fUCh6,0.0234,0.706,0.614,1.24e-06,0.121,-7.89,0.079,104.984,0.538,28
91,Talk That Talk (Deluxe),12,7rRsnDjtKcdrlEesPlw9CF,Red Lipstick,spotify:track:7rRsnDjtKcdrlEesPlw9CF,0.0649,0.517,0.695,0.0,0.649,-7.659,0.118,139.95,0.309,42
